ZONE,DIST_NAME,DISTRICT,COUNTY,YEAR,CTY,DU,POP,EMP,FAMILY_SIZE,FAMILYSIZE_Multi0.5
1,D_1,1,1,2015,HILLSBOROUGH,321,741,215,2.3,1.15
1,D_1,1,1,2035,HILLSBOROUGH,335,779,215,2.32,1.16
1,D_1,1,1,2045,HILLSBOROUGH,508,1251,215,2.46,1.23
2,D_1,1,1,2015,HILLSBOROUGH,671,1841,201,2.74,1.37
2,D_1,1,1,2035,HILLSBOROUGH,709,1943,201,2.74,1.37
2,D_1,1,1,2045,HILLSBOROUGH,746,2045,201,2.74,1.37
3,D_1,1,1,2015,HILLSBOROUGH,1003,2908,604,2.89,1.445
3,D_1,1,1,2035,HILLSBOROUGH,1290,3682,973,2.85,1.425
3,D_1,1,1,2045,HILLSBOROUGH,1309,3732,1025,2.85,1.425
4,D_1,1,1,2015,HILLSBOROUGH,866,2656,159,3.06,1.53
4,D_1,1,1,2035,HILLSBOROUGH,890,2723,193,3.05,1.525
4,D_1,1,1,2045,HILLSBOROUGH,892,2727,195,3.05,1.525
5,D_1,1,1,2015,HILLSBOROUGH,619,1724,106,2.78,1.39
5,D_1,1,1,2035,HILLSBOROUGH,625,1740,124,2.78,1.39
5,D_1,1,1,2045,HILLSBOROUGH,684,1899,126,2.77,1.385
6,D_1,1,1,2015,HILLSBOROUGH,246,640,140,2.6,1.3
6,D_1,1,1,2035,HILLSBOROUGH,263,685,143,2.6,1.3
6,D_1,1,1,2045,HILLSBOROUGH,279,729,144,2.61,1.305
7,D_1,1,1,2015,HILLSBOROUGH,181,470,117,2.59,1.295
7,D_1,1,1,2035,HILLSBOROUGH,195,508,118,2.6,1.3
7,D_1,1,1,2045,HILLSBOROUGH,209,545,118,2.6,1.3
8,D_1,1,1,2015,HILLSBOROUGH,1143,2920,837,2.55,1.275
8,D_1,1,1,2035,HILLSBOROUGH,1256,3228,849,2.57,1.285
8,D_1,1,1,2045,HILLSBOROUGH,1369,3535,861,2.58,1.29
9,D_1,1,1,2015,HILLSBOROUGH,698,1897,322,2.71,1.355
9,D_1,1,1,2035,HILLSBOROUGH,804,2182,322,2.71,1.355
9,D_1,1,1,2045,HILLSBOROUGH,909,2466,322,2.71,1.355
10,D_1,1,1,2015,HILLSBOROUGH,908,2115,525,2.32,1.16
10,D_1,1,1,2035,HILLSBOROUGH,1159,2817,525,2.43,1.215
10,D_1,1,1,2045,HILLSBOROUGH,1410,3518,525,2.49,1.245
11,D_1,1,1,2015,HILLSBOROUGH,591,1393,642,2.35,1.175
11,D_1,1,1,2035,HILLSBOROUGH,677,1624,642,2.39,1.195
11,D_1,1,1,2045,HILLSBOROUGH,762,1855,642,2.43,1.215
12,D_1,1,1,2015,HILLSBOROUGH,631,1666,307,2.64,1.32
12,D_1,1,1,2035,HILLSBOROUGH,707,1870,308,2.64,1.32
12,D_1,1,1,2045,HILLSBOROUGH,782,2073,308,2.65,1.325
13,D_1,1,1,2015,HILLSBOROUGH,2290,4270,391,1.86,0.93
13,D_1,1,1,2035,HILLSBOROUGH,2290,4270,393,1.86,0.93
13,D_1,1,1,2045,HILLSBOROUGH,2290,4270,418,1.86,0.93
14,D_1,1,1,2015,HILLSBOROUGH,737,1678,850,2.27,1.135
14,D_1,1,1,2035,HILLSBOROUGH,931,2120,850,2.27,1.135
14,D_1,1,1,2045,HILLSBOROUGH,931,2120,850,2.27,1.135
15,D_1,1,1,2015,HILLSBOROUGH,680,1583,850,2.32,1.16
15,D_1,1,1,2035,HILLSBOROUGH,691,1615,852,2.33,1.165
15,D_1,1,1,2045,HILLSBOROUGH,692,1617,853,2.33,1.165
16,D_1,1,1,2015,HILLSBOROUGH,139,367,2037,2.64,1.32
16,D_1,1,1,2035,HILLSBOROUGH,231,600,2290,2.59,1.295
16,D_1,1,1,2045,HILLSBOROUGH,273,705,2404,2.58,1.29
17,D_1,1,1,2015,HILLSBOROUGH,560,1380,553,2.46,1.23
17,D_1,1,1,2035,HILLSBOROUGH,560,1380,553,2.46,1.23
17,D_1,1,1,2045,HILLSBOROUGH,560,1380,553,2.46,1.23
18,D_1,1,1,2015,HILLSBOROUGH,16,27,78,1.68,0.84
18,D_1,1,1,2035,HILLSBOROUGH,315,883,99,2.8,1.4
18,D_1,1,1,2045,HILLSBOROUGH,339,955,100,2.81,1.405
19,D_1,1,1,2015,HILLSBOROUGH,66,161,398,2.43,1.215
19,D_1,1,1,2035,HILLSBOROUGH,517,1209,405,2.33,1.165
19,D_1,1,1,2045,HILLSBOROUGH,521,1217,405,2.33,1.165
20,D_1,1,1,2015,HILLSBOROUGH,547,1368,964,2.5,1.25
20,D_1,1,1,2035,HILLSBOROUGH,555,1423,964,2.56,1.28
20,D_1,1,1,2045,HILLSBOROUGH,558,1446,964,2.59,1.295
21,D_1,1,1,2015,HILLSBOROUGH,215,521,867,2.42,1.21
21,D_1,1,1,2035,HILLSBOROUGH,284,706,879,2.48,1.24
21,D_1,1,1,2045,HILLSBOROUGH,313,784,890,2.5,1.25
22,D_1,1,1,2015,HILLSBOROUGH,1115,2843,681,2.54,1.27
22,D_1,1,1,2035,HILLSBOROUGH,1144,2923,681,2.55,1.275
22,D_1,1,1,2045,HILLSBOROUGH,1172,3003,681,2.56,1.28
23,D_1,1,1,2015,HILLSBOROUGH,951,2734,777,2.87,1.435
23,D_1,1,1,2035,HILLSBOROUGH,1557,4333,1557,2.78,1.39
23,D_1,1,1,2045,HILLSBOROUGH,1771,4897,1816,2.76,1.38
24,D_1,1,1,2015,HILLSBOROUGH,435,1062,171,2.44,1.22
24,D_1,1,1,2035,HILLSBOROUGH,448,1096,177,2.44,1.22
24,D_1,1,1,2045,HILLSBOROUGH,460,1129,178,2.45,1.225
25,D_1,1,1,2015,HILLSBOROUGH,434,1336,331,3.07,1.535
25,D_1,1,1,2035,HILLSBOROUGH,477,1452,346,3.04,1.52
25,D_1,1,1,2045,HILLSBOROUGH,496,1504,349,3.03,1.515
26,D_1,1,1,2015,HILLSBOROUGH,1,5,41,5,2.5
26,D_1,1,1,2035,HILLSBOROUGH,1,5,41,5,2.5
26,D_1,1,1,2045,HILLSBOROUGH,1,5,41,5,2.5
27,D_1,1,1,2015,HILLSBOROUGH,548,1365,823,2.49,1.245
27,D_1,1,1,2035,HILLSBOROUGH,548,1365,823,2.49,1.245
27,D_1,1,1,2045,HILLSBOROUGH,548,1365,823,2.49,1.245
28,D_1,1,1,2015,HILLSBOROUGH,217,533,112,2.45,1.225
28,D_1,1,1,2035,HILLSBOROUGH,225,555,116,2.46,1.23
28,D_1,1,1,2045,HILLSBOROUGH,233,576,117,2.47,1.235
29,D_1,1,1,2015,HILLSBOROUGH,526,1250,580,2.37,1.185
29,D_1,1,1,2035,HILLSBOROUGH,561,1354,580,2.41,1.205
29,D_1,1,1,2045,HILLSBOROUGH,575,1396,580,2.42,1.21
30,D_1,1,1,2015,HILLSBOROUGH,1297,3210,996,2.47,1.235
30,D_1,1,1,2035,HILLSBOROUGH,1390,3463,1022,2.49,1.245
30,D_1,1,1,2045,HILLSBOROUGH,1424,3556,1029,2.49,1.245
31,D_1,1,1,2015,HILLSBOROUGH,1240,3352,329,2.7,1.35
31,D_1,1,1,2035,HILLSBOROUGH,1258,3400,355,2.7,1.35
31,D_1,1,1,2045,HILLSBOROUGH,1259,3403,356,2.7,1.35
32,D_1,1,1,2015,HILLSBOROUGH,1078,2807,255,2.6,1.3
32,D_1,1,1,2035,HILLSBOROUGH,1078,2807,255,2.6,1.3
32,D_1,1,1,2045,HILLSBOROUGH,1078,2807,255,2.6,1.3
33,D_1,1,1,2015,HILLSBOROUGH,385,1032,182,2.68,1.34
33,D_1,1,1,2035,HILLSBOROUGH,385,1032,1120,2.68,1.34
33,D_1,1,1,2045,HILLSBOROUGH,385,1032,1182,2.68,1.34
34,D_1,1,1,2015,HILLSBOROUGH,2464,4798,1340,1.94,0.97
34,D_1,1,1,2035,HILLSBOROUGH,2488,4967,1451,1.99,0.995
34,D_1,1,1,2045,HILLSBOROUGH,2492,4998,1572,2,1
35,D_1,1,1,2015,HILLSBOROUGH,0,0,1443,0,0
35,D_1,1,1,2035,HILLSBOROUGH,60,162,1443,2.7,1.35
35,D_1,1,1,2045,HILLSBOROUGH,80,216,1443,2.7,1.35
36,D_1,1,1,2015,HILLSBOROUGH,1178,2520,1674,2.13,1.065
36,D_1,1,1,2035,HILLSBOROUGH,1190,2532,1674,2.12,1.06
36,D_1,1,1,2045,HILLSBOROUGH,1194,2536,1674,2.12,1.06
37,D_1,1,1,2015,HILLSBOROUGH,1069,1917,80,1.79,0.895
37,D_1,1,1,2035,HILLSBOROUGH,1070,1927,88,1.8,0.9
37,D_1,1,1,2045,HILLSBOROUGH,1070,1927,93,1.8,0.9
38,D_1,1,1,2015,HILLSBOROUGH,931,2244,2518,2.41,1.205
38,D_1,1,1,2035,HILLSBOROUGH,1097,2673,2518,2.43,1.215
38,D_1,1,1,2045,HILLSBOROUGH,1229,3016,2518,2.45,1.225
39,D_1,1,1,2015,HILLSBOROUGH,1262,2949,356,2.33,1.165
39,D_1,1,1,2035,HILLSBOROUGH,1345,3177,551,2.36,1.18
39,D_1,1,1,2045,HILLSBOROUGH,1358,3212,626,2.36,1.18
40,D_1,1,1,2015,HILLSBOROUGH,634,1517,757,2.39,1.195
